1622812500000,36819.92000000,36940.31000000,36692.81000000,36801.09000000,728.81541100,1622813399999,26810865.95233585,15183,406.48541200,14952556.96865203,0
1622813400000,36803.61000000,36938.76000000,36758.28000000,36815.30000000,680.47838200,1622814299999,25070402.65141724,14531,343.27637600,12645666.98064018,0
1622814300000,36817.25000000,36866.52000000,36606.35000000,36729.31000000,652.51846900,1622815199999,23964563.90430631,15057,307.54781800,11296402.54011093,0
1622815200000,36729.32000000,36790.00000000,36255.13000000,36289.73000000,1100.47355900,1622816099999,40162177.29606920,23040,478.21813100,17451434.22874211,0
1622816100000,36295.15000000,36467.99000000,36150.00000000,36390.74000000,947.89965800,1622816999999,34439855.53140745,19409,435.14267500,15809991.62150341,0
1622817000000,36390.73000000,36631.65000000,36352.27000000,36600.00000000,885.52870200,1622817899999,32336944.73502686,16243,449.02321900,16397863.55241947,0
1622817900000,36600.00000000,36893.45000000,36481.34000000,36707.94000000,1167.88624800,1622818799999,42864221.01339018,20567,552.86473000,20297353.72274638,0
1622818800000,36707.94000000,36838.87000000,36621.83000000,36732.88000000,966.13950600,1622819699999,35486869.55406544,14847,526.70402800,19349379.56334425,0
1622819700000,36732.88000000,36867.34000000,36675.49000000,36815.00000000,691.82698000,1622820599999,25436777.73780991,12963,308.14424100,11330883.75771686,0
1622820600000,36815.00000000,36990.00000000,36762.30000000,36974.24000000,962.73498600,1622821499999,35519640.53947856,16357,478.25103400,17642166.84530990,0
1622821500000,36969.70000000,37064.29000000,36840.01000000,36948.85000000,911.44740400,1622822399999,33693868.42181208,18259,425.51218400,15730009.71400329,0
1622822400000,36948.86000000,37061.43000000,36815.03000000,37007.57000000,1063.87599800,1622823299999,39313447.41378251,21477,553.29928800,20450753.41955453,0
1622823300000,37007.57000000,37049.93000000,36827.80000000,36945.24000000,604.76448400,1622824199999,22328891.08561473,13648,304.33482800,11235758.52923632,0
1622824200000,36945.25000000,36945.25000000,36751.05000000,36856.57000000,604.05728900,1622825099999,22257153.79546523,12074,232.62638300,8568039.47840061,0
1622825100000,36856.58000000,36913.96000000,36757.00000000,36892.30000000,495.87928200,1622825999999,18263997.95496636,10371,207.95889200,7659820.71849735,0
1622826000000,36892.30000000,37036.00000000,36800.01000000,36984.68000000,411.70565300,1622826899999,15212214.74369360,10856,205.62063600,7597915.94415310,0
1622826900000,36984.68000000,37248.94000000,36941.65000000,37163.56000000,773.79373900,1622827799999,28716079.78510879,17492,397.42616800,14748588.12904836,0
1622827800000,37163.57000000,37242.31000000,37085.65000000,37130.00000000,600.23889000,1622828699999,22308031.38478692,14097,303.87680800,11294753.40591160,0
1622828700000,37129.91000000,37158.51000000,37053.99000000,37082.77000000,419.03711300,1622829599999,15547503.17684484,9468,192.09894500,7127337.87589051,0
1622829600000,37082.78000000,37138.58000000,36953.17000000,36990.00000000,479.15155900,1622830499999,17744390.49139559,10823,172.35644000,6383204.85957482,0
